저는 풀 수 없는 스트레스가 쌓이면 미친듯이 운동을 합니다. 운동으로 인한 스트레스로 다른 스트레스를 밀어버린 달까요? 지쳐쓰러져도 근육통때문에 며칠은 딴생각을 안하게 되고 다름? 건강에 도움도 될거라고 생각합니다.,-,남,infp
"저는 관력 책읽고 글쓰거나 일기써요, 낮잠 자거나 나가서 돈써요, 쇼핑하고,머리하고,손톱관리,친구,맛집,목욕탕가서 따뜻한데 들어가있고 전신마사지 받고, 영화,노래방, 아니면 산책, 제일 좋았던거 자기 몸에 투자하는게 효과 좋았던거 같아요. 그리고 일기쓰면서 자기 마음이나 생각을 정리하는거",25,여,
"저는 최근에 좀 힘든일이 있었는데 가족들한테도 말을 못하고 끙끙앓다가 마음의 병이 더 커졌거든요.
너 사만다 어플로 내 이야기 녹음도 해가면서 익명으로 이야기도 하다보니 좀 풀어졌어요.
대화로 푸는 것도 방법인 것 같습니다 힘내세요.",-,-,-
취준생이라 매일 집에서만 생활하는데 유일한 낙이 담배피면서 친구들이랑 전화하기에요 근데 전화할 친구도 그리 많지 않아서 타이밍 안맞으면 아무도 전화할 상황 안될 때가 많아서 뭔가 더욱 외로움을 타게 되는데 이럴때 해소법이 따로 있을까요...ㅋㅋ 담배를 끊으면 좀 나아질려나 싶지만 담배 끊는 것도 생각보다 힘들고 참 ㅋㅋㅋ..,25,여,-
"게임,음악감상,영화감상,애니메이션 감상 등과 노래방, ",30대,남,-
저는 힘들고 우울할때 공책이나 a4용지에 일기를 써서 제 감정을 표현하거나 음악을 듣기도하고 자기소개 문답 적어서 제 감정을 마구마구 표현하기도 합니다..^*^,23,여,-
쇼핑,-,-,-
"산책, 혼술",-,-,-
"혼술, 내 맘을 글로 써보기",30대 중반,여,-
가벼운 운동 30분,-,-,-
힘들땐 글쓰기가 도움이 좀 되는것같아요 대신에 답은 결국 본인이 찾아야만 한다는게 문제긴 하죠,35,남,-
"요즘 사회가 삭막해서 사랑한다고 다들 표현 잘 못해요. 내가 해도 돌아온다는 보장도 없구요. 근데 어차피 말 한마디 돈드는 거 아니니까 애정표현 뿌린다고 나쁜 사람 안되더라구요. 내가 먼저 애정표현 뿌리다보면 그거에 맛들리고 길들여져서 그들도 외로워지면 내가 뱉은 "" 사랑한다"" 이 말 듣고 싶어서 알아서 연락 합니다. 사람은 다 외롭거든요 사랑한단 말 듣고 싶어 합니다.",-,-,-
"마인드컨트롤, 취미생활 등등 스트레스 해소법 잘 찾으셔서 건강한 삶 사시길 바랍니다. 저는 참고로 말할곳이 없어서 노래방가서 소리지르고 오니까 마음이 좀 편하더라구요.",30대,여,-